level,rules
2, 0
2, 1
3, 0
3, 1
3, 14
3, 15
3, 16
3, 17
3, 21
4, 0
4, 1
4, 14
4, 15
4, 16
4, 17
4, 21
5, 2
5, 14
5, 15
5, 16
5, 17
5, 21
6, 2
6, 14
6, 15
6, 16
6, 17
6, 21
7, 2
7, 14
7, 15
7, 16
7, 17
7, 21
8, 3
8, 4
8, 5
8, 6
8, 7
8, 14
8, 15
8, 16
8, 17
8, 21
9, 3
9, 4
9, 5
9, 6
9, 7
9, 14
9, 15
9, 16
9, 17
9, 21
10, 3
10, 4
10, 5
10, 6
10, 7
11, 0
11, 1
11, 14
11, 15
11, 16
11, 17
11, 18
11, 19
11, 20
11, 21
12, 3
12, 4
12, 5
12, 6
12, 7
13, 0
13, 1
13, 14
13, 15
13, 16
13, 17
13, 21
14, 2
14, 14
14, 15
14, 16
14, 17
14, 18
14, 19
14, 20
14, 21
15, 0
15, 1
15, 14
15, 15
15, 16
15, 17
15, 21
16, 3
16, 4
16, 5
16, 6
16, 7
16, 14
16, 15
16, 16
16, 17
16, 21
17, 0
17, 1
17, 17
17, 18
17, 19
17, 20
17, 21
18, 0
18, 1
18, 14
18, 15
18, 16
18, 17
18, 21
19, 0
19, 1
20, 0
20, 1
20, 14
20, 15
20, 16
20, 17
20, 21
21, 0
21, 1
21, 17
21, 18
21, 19
21, 20
21, 21
22, 3
22, 5
22, 7

