level,rules
1, 2
1, 3
1, 4
1, 9
1, 10
1, 11
1, 12
1, 13
1, 14
1, 15
1, 16
1, 17
1, 18
1, 19
1, 29
1, 30
1, 31
1, 32
1, 33
1, 34
1, 35
1, 36
1, 37
1, 38
1, 39
1, 40
1, 41
1, 42
1, 43
1, 44
1, 45
1, 46
1, 49
1, 64
1, 67
1, 70
1, 85
1, 88
1, 89
1, 90
1, 91
1, 92
1, 93
1, 5
1, 6
1, 8
2, 9
2, 10
2, 11
2, 12
2, 13
2, 14
2, 15
2, 16
2, 17
2, 18
2, 6
3, 2
3, 3
3, 4
3, 9
3, 10
3, 11
3, 12
3, 13
3, 14
3, 15
3, 16
3, 17
3, 18
3, 19
3, 24
3, 29
3, 30
3, 31
3, 32
3, 33
3, 34
3, 35
3, 36
3, 37
3, 38
3, 39
3, 40
3, 41
3, 42
3, 43
3, 44
3, 45
3, 46
3, 48
3, 49
3, 55
3, 57
3, 59
3, 60
3, 61
3, 63
3, 64
3, 66
3, 67
3, 69
3, 70
3, 76
3, 78
3, 80
3, 81
3, 82
3, 84
3, 85
3, 87
3, 88
3, 89
3, 90
3, 91
3, 92
3, 93
3, 5
3, 6
4, 2
4, 3
4, 4
4, 9
4, 10
4, 11
4, 12
4, 13
4, 14
4, 15
4, 16
4, 17
4, 18
4, 19
4, 20
4, 29
4, 30
4, 31
4, 32
4, 33
4, 34
4, 35
4, 36
4, 37
4, 38
4, 39
4, 40
4, 41
4, 42
4, 43
4, 44
4, 45
4, 46
4, 47
4, 48
4, 49
4, 50
4, 51
4, 52
4, 54
4, 55
4, 56
4, 57
4, 58
4, 60
4, 62
4, 63
4, 64
4, 65
4, 66
4, 67
4, 68
4, 69
4, 70
4, 71
4, 72
4, 73
4, 75
4, 76
4, 77
4, 78
4, 79
4, 81
4, 83
4, 84
4, 85
4, 86
4, 87
4, 88
4, 89
4, 90
4, 91
4, 92
4, 93
4, 5
4, 6
5, 2
5, 3
5, 4
5, 9
5, 10
5, 11
5, 12
5, 13
5, 14
5, 15
5, 16
5, 17
5, 18
5, 20
5, 28
5, 29
5, 30
5, 31
5, 32
5, 33
5, 34
5, 35
5, 36
5, 37
5, 38
5, 39
5, 40
5, 41
5, 42
5, 43
5, 44
5, 45
5, 46
5, 47
5, 48
5, 49
5, 50
5, 51
5, 52
5, 53
5, 54
5, 55
5, 56
5, 57
5, 58
5, 59
5, 60
5, 61
5, 62
5, 63
5, 64
5, 65
5, 66
5, 67
5, 68
5, 69
5, 70
5, 71
5, 72
5, 73
5, 74
5, 75
5, 76
5, 77
5, 78
5, 79
5, 80
5, 81
5, 82
5, 83
5, 84
5, 85
5, 86
5, 87
5, 88
5, 89
5, 90
5, 91
5, 92
5, 93
5, 5
5, 6
6, 2
6, 3
6, 4
6, 9
6, 10
6, 11
6, 12
6, 13
6, 14
6, 15
6, 16
6, 17
6, 18
6, 19
6, 20
6, 21
6, 22
6, 23
6, 24
6, 25
6, 26
6, 27
6, 28
6, 31
6, 33
6, 47
6, 48
6, 50
6, 51
6, 52
6, 53
6, 54
6, 55
6, 56
6, 57
6, 58
6, 59
6, 60
6, 61
6, 62
6, 63
6, 65
6, 66
6, 68
6, 69
6, 71
6, 72
6, 73
6, 74
6, 75
6, 76
6, 77
6, 78
6, 79
6, 80
6, 81
6, 82
6, 83
6, 84
6, 86
6, 87
6, 91
6, 5
6, 6
6, 7
7, 2
7, 3
7, 4
7, 9
7, 10
7, 11
