level,rules
1, 0
1, 1
2, 0
2, 1
3, 0
3, 1
3, 14
3, 15
3, 16
4, 0
4, 1
4, 14
4, 15
4, 16
5, 1
5, 2
5, 14
5, 15
5, 16
6, 1
6, 2
6, 14
6, 15
6, 16
7, 1
7, 2
7, 14
7, 15
7, 16
8, 1
8, 3
8, 4
8, 5
8, 6
8, 7
8, 14
8, 15
8, 16
9, 1
9, 3
9, 4
9, 5
9, 6
9, 7
9, 14
9, 15
9, 16
10, 1
10, 3
10, 4
10, 5
10, 6
10, 7
11, 0
11, 1
11, 8
11, 9
11, 10
11, 11
11, 12
11, 13
11, 14
11, 15
11, 16
11, 18
11, 19
11, 20
12, 1
12, 3
12, 4
12, 5
12, 6
12, 8
12, 9
12, 10
12, 11
12, 12
12, 13
12, 7
13, 0
13, 1
13, 8
13, 9
13, 10
13, 11
13, 12
13, 13
13, 14
13, 15
13, 16
14, 1
14, 2
14, 8
14, 9
14, 10
14, 11
14, 12
14, 13
14, 14
14, 15
14, 16
14, 18
14, 19
14, 20
15, 0
15, 1
15, 8
15, 9
15, 10
15, 11
15, 12
15, 13
15, 14
15, 15
15, 16
16, 1
16, 3
16, 4
16, 5
16, 6
16, 8
16, 9
16, 10
16, 11
16, 12
16, 13
16, 7
16, 14
16, 15
16, 16
17, 0
17, 1
17, 8
17, 9
17, 10
17, 11
17, 12
17, 13
17, 18
17, 19
17, 20
18, 0
18, 1
18, 8
18, 9
18, 10
18, 11
18, 12
18, 13
18, 14
18, 15
18, 16
19, 0
19, 1
19, 8
19, 9
19, 10
19, 11
19, 12
19, 13
20, 0
20, 1
20, 8
20, 9
20, 10
20, 11
20, 12
20, 13
20, 14
20, 15
20, 16
21, 0
21, 1
21, 8
21, 9
21, 10
21, 11
21, 12
21, 13
21, 18
21, 19
21, 20
22, 0
22, 1
22, 2
22, 3
22, 4
22, 5
22, 6
22, 7

